Year,Series,Sex,Age,Broad citizenship,Form of exploitation,Units,Value
2019,1. Detected victims of human trafficking,Both Sexes,All Ages,All citizens,Forced labour,Number of victims,8.0
2019,1. Detected victims of human trafficking,Both Sexes,All Ages,All citizens,Other forms,Number of victims,0.0
2019,1. Detected victims of human trafficking,Both Sexes,All Ages,All citizens,Sexual exploitation,Number of victims,1.0
2019,1. Detected victims of human trafficking,Both Sexes,All Ages,Maltese,All forms,Number of victims,0.0
2019,1. Detected victims of human trafficking,Both Sexes,All Ages,Non-EU,All forms,Number of victims,9.0
2019,1. Detected victims of human trafficking,Both Sexes,All Ages,Other EU,All forms,Number of victims,0.0
2019,1. Detected victims of human trafficking,Both Sexes,0 - 17,All citizens,All forms,Number of victims,0.0
2019,1. Detected victims of human trafficking,Both Sexes,18+,All citizens,All forms,Number of victims,9.0
2019,1. Detected victims of human trafficking,Both Sexes,All Ages,All citizens,All forms,Number of victims,9.0
2019,1. Detected victims of human trafficking,Females,All Ages,All citizens,All forms,Number of victims,6.0
2019,1. Detected victims of human trafficking,Males,All Ages,All citizens,All forms,Number of victims,3.0
2020,1. Detected victims of human trafficking,Both Sexes,All Ages,All citizens,Forced labour,Number of victims,6.0
2020,1. Detected victims of human trafficking,Both Sexes,All Ages,All citizens,Other forms,Number of victims,3.0
2020,1. Detected victims of human trafficking,Both Sexes,All Ages,All citizens,Sexual exploitation,Number of victims,7.0
2020,1. Detected victims of human trafficking,Both Sexes,All Ages,Maltese,All forms,Number of victims,3.0
2020,1. Detected victims of human trafficking,Both Sexes,All Ages,Non-EU,All forms,Number of victims,7.0
2020,1. Detected victims of human trafficking,Both Sexes,All Ages,Other EU,All forms,Number of victims,2.0
2020,1. Detected victims of human trafficking,Both Sexes,0 - 17,All citizens,All forms,Number of victims,3.0
2020,1. Detected victims of human trafficking,Both Sexes,18+,All citizens,All forms,Number of victims,9.0
2020,1. Detected victims of human trafficking,Both Sexes,All Ages,All citizens,All forms,Number of victims,12.0
2020,1. Detected victims of human trafficking,Females,All Ages,All citizens,All forms,Number of victims,12.0
2020,1. Detected victims of human trafficking,Males,All Ages,All citizens,All forms,Number of victims,0.0
2021,1. Detected victims of human trafficking,Both Sexes,All Ages,All citizens,Forced labour,Number of victims,2.0
2021,1. Detected victims of human trafficking,Both Sexes,All Ages,All citizens,Other forms,Number of victims,1.0
2021,1. Detected victims of human trafficking,Both Sexes,All Ages,All citizens,Sexual exploitation,Number of victims,2.0
2021,1. Detected victims of human trafficking,Both Sexes,All Ages,Maltese,All forms,Number of victims,0.0
2021,1. Detected victims of human trafficking,Both Sexes,All Ages,Non-EU,All forms,Number of victims,4.0
2021,1. Detected victims of human trafficking,Both Sexes,All Ages,Other EU,All forms,Number of victims,0.0
2021,1. Detected victims of human trafficking,Both Sexes,0 - 17,All citizens,All forms,Number of victims,0.0
2021,1. Detected victims of human trafficking,Both Sexes,18+,All citizens,All forms,Number of victims,4.0
2021,1. Detected victims of human trafficking,Both Sexes,All Ages,All citizens,All forms,Number of victims,4.0
2021,1. Detected victims of human trafficking,Females,All Ages,All citizens,All forms,Number of victims,4.0
2021,1. Detected victims of human trafficking,Males,All Ages,All citizens,All forms,Number of victims,0.0
2022,1. Detected victims of human trafficking,Both Sexes,All Ages,All citizens,Forced labour,Number of victims,11.0
2022,1. Detected victims of human trafficking,Both Sexes,All Ages,All citizens,Other forms,Number of victims,2.0
2022,1. Detected victims of human trafficking,Both Sexes,All Ages,All citizens,Sexual exploitation,Number of victims,12.0
2022,1. Detected victims of human trafficking,Both Sexes,All Ages,Maltese,All forms,Number of victims,0.0
2022,1. Detected victims of human trafficking,Both Sexes,All Ages,Non-EU,All forms,Number of victims,20.0
2022,1. Detected victims of human trafficking,Both Sexes,All Ages,Other EU,All forms,Number of victims,2.0
2022,1. Detected victims of human trafficking,Both Sexes,0 - 17,All citizens,All forms,Number of victims,0.0
2022,1. Detected victims of human trafficking,Both Sexes,18+,All citizens,All forms,Number of victims,22.0
2022,1. Detected victims of human trafficking,Both Sexes,All Ages,All citizens,All forms,Number of victims,22.0
2022,1. Detected victims of human trafficking,Females,All Ages,All citizens,All forms,Number of victims,19.0
2022,1. Detected victims of human trafficking,Males,All Ages,All citizens,All forms,Number of victims,3.0
2023,1. Detected victims of human trafficking,Both Sexes,All Ages,All citizens,Forced labour,Number of victims,0.0
2023,1. Detected victims of human trafficking,Both Sexes,All Ages,All citizens,Other forms,Number of victims,0.0
2023,1. Detected victims of human trafficking,Both Sexes,All Ages,All citizens,Sexual exploitation,Number of victims,6.0
2023,1. Detected victims of human trafficking,Both Sexes,All Ages,Maltese,All forms,Number of victims,0.0
2023,1. Detected victims of human trafficking,Both Sexes,All Ages,Non-EU,All forms,Number of victims,5.0
2023,1. Detected victims of human trafficking,Both Sexes,All Ages,Other EU,All forms,Number of victims,1.0
2023,1. Detected victims of human trafficking,Both Sexes,0 - 17,All citizens,All forms,Number of victims,0.0
2023,1. Detected victims of human trafficking,Both Sexes,18+,All citizens,All forms,Number of victims,6.0
2023,1. Detected victims of human trafficking,Both Sexes,All Ages,All citizens,All forms,Number of victims,6.0
2023,1. Detected victims of human trafficking,Females,All Ages,All citizens,All forms,Number of victims,6.0
2023,1. Detected victims of human trafficking,Males,All Ages,All citizens,All forms,Number of victims,0.0
2024,1. Detected victims of human trafficking,Both Sexes,All Ages,All citizens,Forced labour,Number of victims,2.0
