Year,Value,Units,Series
2010,0.16,Kgs of CO2 per constant 2021 US$,2. Carbon dioxide emissions per unit of GDP PPP
2011,0.16,Kgs of CO2 per constant 2021 US$,2. Carbon dioxide emissions per unit of GDP PPP
2012,0.16,Kgs of CO2 per constant 2021 US$,2. Carbon dioxide emissions per unit of GDP PPP
2013,0.13,Kgs of CO2 per constant 2021 US$,2. Carbon dioxide emissions per unit of GDP PPP
2014,0.12,Kgs of CO2 per constant 2021 US$,2. Carbon dioxide emissions per unit of GDP PPP
2015,0.08,Kgs of CO2 per constant 2021 US$,2. Carbon dioxide emissions per unit of GDP PPP
2016,0.06,Kgs of CO2 per constant 2021 US$,2. Carbon dioxide emissions per unit of GDP PPP
2017,0.06,Kgs of CO2 per constant 2021 US$,2. Carbon dioxide emissions per unit of GDP PPP
2018,0.06,Kgs of CO2 per constant 2021 US$,2. Carbon dioxide emissions per unit of GDP PPP
2019,0.06,Kgs of CO2 per constant 2021 US$,2. Carbon dioxide emissions per unit of GDP PPP
2020,0.06,Kgs of CO2 per constant 2021 US$,2. Carbon dioxide emissions per unit of GDP PPP
2021,0.05,Kgs of CO2 per constant 2021 US$,2. Carbon dioxide emissions per unit of GDP PPP
2022,0.06,Kgs of CO2 per constant 2021 US$,2. Carbon dioxide emissions per unit of GDP PPP
2010,0.04,Kgs of CO2 per constant 2015 US$,3. Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added
2011,0.02,Kgs of CO2 per constant 2015 US$,3. Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added
2012,0.03,Kgs of CO2 per constant 2015 US$,3. Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added
2013,0.06,Kgs of CO2 per constant 2015 US$,3. Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added
2014,0.07,Kgs of CO2 per constant 2015 US$,3. Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added
2015,0.06,Kgs of CO2 per constant 2015 US$,3. Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added
2016,0.06,Kgs of CO2 per constant 2015 US$,3. Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added
2017,0.06,Kgs of CO2 per constant 2015 US$,3. Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added
2018,0.04,Kgs of CO2 per constant 2015 US$,3. Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added
2019,0.05,Kgs of CO2 per constant 2015 US$,3. Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added
2020,0.04,Kgs of CO2 per constant 2015 US$,3. Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added
2021,0.04,Kgs of CO2 per constant 2015 US$,3. Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added
2022,0.04,Kgs of CO2 per constant 2015 US$,3. Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added
2010,0.34,Kgs of CO2 emissions per Euro,4. CO2 emissions per unit of value added
2011,0.34,Kgs of CO2 emissions per Euro,4. CO2 emissions per unit of value added
2012,0.35,Kgs of CO2 emissions per Euro,4. CO2 emissions per unit of value added
2013,0.29,Kgs of CO2 emissions per Euro,4. CO2 emissions per unit of value added
2014,0.28,Kgs of CO2 emissions per Euro,4. CO2 emissions per unit of value added
2015,0.19,Kgs of CO2 emissions per Euro,4. CO2 emissions per unit of value added
2016,0.15,Kgs of CO2 emissions per Euro,4. CO2 emissions per unit of value added
2017,0.15,Kgs of CO2 emissions per Euro,4. CO2 emissions per unit of value added
2018,0.15,Kgs of CO2 emissions per Euro,4. CO2 emissions per unit of value added
2019,0.18,Kgs of CO2 emissions per Euro,4. CO2 emissions per unit of value added
2020,0.17,Kgs of CO2 emissions per Euro,4. CO2 emissions per unit of value added
2021,0.18,Kgs of CO2 emissions per Euro,4. CO2 emissions per unit of value added
2022,0.21,Kgs of CO2 emissions per Euro,4. CO2 emissions per unit of value added
