Year,Value,Units,Series
2010,10.29,Percentage (%),MVA as a proportion of GDP
2011,10.08,Percentage (%),MVA as a proportion of GDP
2012,10.25,Percentage (%),MVA as a proportion of GDP
2013,9.38,Percentage (%),MVA as a proportion of GDP
2014,8.53,Percentage (%),MVA as a proportion of GDP
2015,7.55,Percentage (%),MVA as a proportion of GDP
2016,7.19,Percentage (%),MVA as a proportion of GDP
2017,6.75,Percentage (%),MVA as a proportion of GDP
2018,6.68,Percentage (%),MVA as a proportion of GDP
2019,6.34,Percentage (%),MVA as a proportion of GDP
2020,6.7,Percentage (%),MVA as a proportion of GDP
2021,6.3,Percentage (%),MVA as a proportion of GDP
2022,6.24,Percentage (%),MVA as a proportion of GDP
2023,6.16,Percentage (%),MVA as a proportion of GDP
2024,6.23,Percentage (%),MVA as a proportion of GDP
2010,1985.91,constant 2015 US$,MVA per capita (constant 2015 US$)
2011,1956.28,constant 2015 US$,MVA per capita (constant 2015 US$)
2012,2061.36,constant 2015 US$,MVA per capita (constant 2015 US$)
2013,1996.57,constant 2015 US$,MVA per capita (constant 2015 US$)
2014,1926.97,constant 2015 US$,MVA per capita (constant 2015 US$)
2015,1825.16,constant 2015 US$,MVA per capita (constant 2015 US$)
2016,1767.59,constant 2015 US$,MVA per capita (constant 2015 US$)
2017,1824.91,constant 2015 US$,MVA per capita (constant 2015 US$)
2018,1867.51,constant 2015 US$,MVA per capita (constant 2015 US$)
2019,1775.17,constant 2015 US$,MVA per capita (constant 2015 US$)
2020,1764.02,constant 2015 US$,MVA per capita (constant 2015 US$)
2021,1852.87,constant 2015 US$,MVA per capita (constant 2015 US$)
2022,1898.72,constant 2015 US$,MVA per capita (constant 2015 US$)
2023,1990.0,constant 2015 US$,MVA per capita (constant 2015 US$)
2024,2014.6,constant 2015 US$,MVA per capita (constant 2015 US$)
