Year,Value,Series
2016,70.8,Data Sources performance index (Statistical Performance Indicators Pillar 4)
2017,68.5,Data Sources performance index (Statistical Performance Indicators Pillar 4)
2018,68.6,Data Sources performance index (Statistical Performance Indicators Pillar 4)
2019,68.6,Data Sources performance index (Statistical Performance Indicators Pillar 4)
2020,74.5,Data Sources performance index (Statistical Performance Indicators Pillar 4)
2021,78.6,Data Sources performance index (Statistical Performance Indicators Pillar 4)
2022,74.6,Data Sources performance index (Statistical Performance Indicators Pillar 4)
2016,70.0,Data Infrastructure performance index (Statistical Performance Indicators Pillar 5)
2017,70.0,Data Infrastructure performance index (Statistical Performance Indicators Pillar 5)
2018,70.0,Data Infrastructure performance index (Statistical Performance Indicators Pillar 5)
2019,75.0,Data Infrastructure performance index (Statistical Performance Indicators Pillar 5)
2020,80.0,Data Infrastructure performance index (Statistical Performance Indicators Pillar 5)
2021,75.0,Data Infrastructure performance index (Statistical Performance Indicators Pillar 5)
2022,75.0,Data Infrastructure performance index (Statistical Performance Indicators Pillar 5)
